st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_prov,logg,logg_prov,feh,feh_prov,radius,mass,dens,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date
q1_q17_dr25_supp_stellar,6758745,2MASS J19000733+4213151,285.03055,42.220879,15.172,6043,PHO1,4.3660000000000005,KIC0,-0.56,KIC0,1.005,0.855,1.187,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6758819,2MASS J19001574+4212419,285.06561,42.211658,14.401,5758,PHO1,4.308,KIC0,0.12,KIC0,1.165,1.005,0.8948,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6758836,2MASS J19001759+4212431,285.07333,42.21199,11.739,5921,PHO1,4.236000000000001,FLK73,-0.22,KIC0,1.2229999999999999,0.94,0.7242,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6758988,2MASS J19003618+4216114,285.15076,42.269852,14.917,5665,PHO1,4.377,KIC0,0.04,KIC0,1.038,0.938,1.179,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6758991,2MASS J19003639+4214343,285.15164,42.24287,12.286,5888,PHO1,4.024,FLK73,-0.12,KIC0,1.645,1.043,0.3298,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6759024,2MASS J19003989+4216479,285.16623,42.279990999999995,15.36,5237,KIC0,4.399,KIC0,0.24,KIC0,0.971,0.86,1.3230000000000002,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6761498,2MASS J19045963+4212524,286.2485,42.214569,12.027000000000001,5592,PHO1,4.04,KIC0,-0.18,KIC0,1.5090000000000001,0.911,0.3736,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6761638,2MASS J19051167+4217587,286.29865,42.299640999999994,12.811,5720,PHO1,4.033,KIC0,-0.04,KIC0,1.604,1.014,0.3458,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6761777,2MASS J19052621+4213389,286.35922,42.227482,14.552999999999999,5741,SPE90,3.997,SPE90,0.1,SPE90,1.746,1.105,0.2922,DSEP,1,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6761893,2MASS J19054002+4212102,286.41675,42.20285,14.419,5213,KIC0,3.695,KIC0,-0.62,KIC0,2.128,0.817,0.1194,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6762021,2MASS J19055453+4216295,286.47722999999996,42.274879,14.72,5305,PHO1,4.088,KIC0,0.24,KIC0,1.449,0.939,0.4346,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6762045,2MASS J19055701+4213158,286.48755,42.221081,15.789000000000001,5970,PHO1,4.399,KIC0,0.46,KIC0,1.143,1.195,1.128,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6762336,2MASS J19062852+4213259,286.61884,42.223862,15.104000000000001,5783,PHO1,4.252,KIC0,-0.42,KIC0,1.1179999999999999,0.814,0.8215,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,6762447,2MASS J19064027+4212246,286.66782,42.206848,13.85,5313,PHO1,3.6439999999999997,KIC0,-0.16,KIC0,2.885,1.338,0.07848,DSEP,0,0,0,,2018-01-06 0
