KIC,Period,teff,logg,radius,mass,dens
4567165,10.099,5899.0,4.394,1.005,0.914,1.268
5020319,9.047,6020.0,4.3889999999999985,1.085,1.0490000000000002,1.157
3743231,15.745,5661.0,3.777,2.335,1.19,0.1316
9693187,49.209,5638.0,4.109,1.347,0.852,0.4907
7284881,18.767,5948.0,3.71,2.81,1.479,0.09386
8277130,19.022,5532.0,3.745,2.355,1.125,0.1212
5684249,0.0,5802.0,4.381,0.927,0.753,1.332
12218727,8.127,5774.0,3.87,1.87,0.945,0.2036
10556590,14.499,5880.0,4.274,1.193,0.976,0.8097
10556590,14.499,5880.0,4.274,1.193,0.976,0.8097
9096192,13.797,5511.0,4.396,0.966,0.848,1.325
5696708,13.033,6047.0,4.109,1.482,1.031,0.4459
7548035,4.928,5988.0,4.397,1.07,1.043,1.199
5215494,0.0,5245.0,3.965,1.634,0.899,0.2903
3975754,14.178,5838.0,4.385,0.992,0.87,1.257
8581545,5.704,5978.0,3.95,1.936,1.219,0.2366
3743537,0.0,5299.0,3.957,1.633,0.8809999999999999,0.2852
5788648,9.44,6004.0,4.367,1.06,0.955,1.13
8198347,0.0,5551.0,3.961,1.842,1.131,0.2547
5120447,18.404,5812.0,4.191,1.256,0.894,0.6354
6463806,7.222,6026.0,4.246,1.258,1.018,0.7197
7420967,24.096,5791.0,4.397,0.953,0.8270000000000001,1.345
11297580,40.589,5629.0,3.744,2.206,0.985,0.1293
6183129,13.114,5823.0,4.285,1.22,1.044,0.8107
7287978,45.823,5758.0,4.346,1.079,0.9420000000000001,1.055
5696699,16.591,5520.0,4.0310000000000015,1.483,0.862,0.3726
5868059,12.709,5623.0,4.173,1.402,1.0659999999999998,0.5447
2141736,17.57,5676.0,4.306,1.058,0.826,0.9833
6446053,12.093,5747.0,4.049,1.411,0.812,0.4074
7373387,14.456,5981.0,4.287,1.195,1.008,0.8314
8363660,13.536,5857.0,4.379,1.072,1.001,1.146
11177676,15.784,5375.0,4.3889999999999985,0.97,0.841,1.297
10517557,21.25,5772.0,4.0280000000000005,1.6840000000000002,1.103,0.3255
9706901,13.231,5651.0,4.377,1.032,0.925,1.187
11090687,7.764,5865.0,4.102,1.531,1.081,0.4246
11045409,15.025,5676.0,3.917,1.866,1.051,0.2277
7036763,12.098,5880.0,4.325,0.996,0.765,1.09
