,KIC,Teff,logg,Mass,Period
23163,9788811,5316,4.49,0.9161,30.436
23164,9789495,5831,4.74,1.0566,12.005
23165,9789731,6145,4.47,1.1526,3.582
23166,9790067,5021,4.68,0.8397,0.413
23167,9790503,5507,4.06,0.9666,32.255
23168,9790733,5568,4.35,0.983,22.753
23169,9790810,5794,4.24,1.046,61.556999999999995
23170,9790813,5693,4.36,1.0174,25.838
23171,9790975,4893,4.45,0.8064,24.064
23172,9791090,5349,3.82,0.9248,36.281
23173,9791335,6128,3.94,1.1471,7.164
23174,9791536,5379,4.39,0.9326,21.795
23175,9791622,5408,4.08,0.9403,29.291999999999998
23176,9812058,5409,4.71,0.9405,52.93
23177,9812158,4957,4.41,0.8231,9.042
23178,9812183,5849,4.16,1.0619,40.816
23179,9812335,5290,4.65,0.9094,47.968
23180,9812396,5991,4.61,1.1042,20.848000000000003
23181,9812435,5856,4.33,1.0639,39.427
23182,9812557,4616,4.5,0.7325,23.651999999999997
23183,9812574,5409,4.43,0.9405,27.575
23184,9812632,4886,4.36,0.8046,33.378
23185,9812850,6169,4.21,1.1604,5.117
23186,9812966,6169,4.31,1.1604,16.320999999999998
23187,9812993,6120,4.36,1.1446,18.771
23188,9813384,5272,4.56,0.9047,0.304
23189,9813459,5812,4.54,1.0511,19.965
23190,9813525,4935,4.39,0.8174,38.18
23191,9813603,5473,4.7,0.9575,38.65
23192,9813604,5728,4.43,1.0272,17.655
23193,9813719,5317,4.6,0.9164,22.484
23194,9813741,5205,4.56,0.8873,32.091
23195,9814152,5882,4.41,1.0715,15.152000000000001
23196,9814359,6287,4.29,1.1999,19.69
23197,9814736,6291,4.14,1.2012,6.447
23198,9814980,5516,4.11,0.969,27.923000000000002
23199,9815201,4629,4.61,0.7361,43.983000000000004
23200,9815670,5265,4.61,0.9029,34.604
23201,9817952,5536,4.61,0.9744,41.548
23202,9817967,4919,4.6,0.8132,41.57899999999999
23203,9817994,5405,4.86,0.9395,50.903
23204,9818107,5683,4.59,1.0146,26.164
23205,9818275,5709,4.5,1.0219,26.055999999999997
23206,9818367,5701,4.39,1.0196,40.408
23207,9818425,5788,4.37,1.0443,37.626999999999995
23208,9818549,6089,4.49,1.1347,13.802999999999999
23209,9818851,6009,4.17,1.1098,24.101
23210,9820513,5667,4.64,1.0102,27.698
23211,9820558,5575,4.79,0.9849,38.217
23212,9820809,5314,4.48,0.9156,23.448
23213,9820952,5220,4.48,0.8912,44.203
23214,9821084,5171,3.81,0.8785,0.37799999999999995
23215,9821191,5721,4.46,1.0252,26.625
23216,9821513,6309,4.15,1.2074,10.097999999999999
23217,9821686,5146,4.58,0.872,32.908
23218,9821755,6277,4.25,1.1965,10.329
23219,9821774,5644,4.47,1.0038,24.96
23220,9821786,5793,4.06,1.0457,45.291000000000004
23221,9821814,6497,4.13,1.2751,44.143
23222,9821862,5115,4.76,0.864,57.96
23223,9821916,5709,4.3,1.0219,29.741
23224,9822061,5708,4.6,1.0216,24.449
23225,9822083,5790,4.63,1.0448,41.286
23226,9822140,5218,4.65,0.8907,34.806
23227,9822157,4769,4.55,0.7737,41.428999999999995
23228,9822341,6002,4.49,1.1076,31.53
23229,9822749,6396,4.27,1.2381,18.044
23230,9822774,6159,4.58,1.1572,15.395
23231,9822811,4898,4.65,0.8077,39.708
23232,9823609,5348,4.59,0.9245,36.162
23233,9823615,6393,4.29,1.237,2.9939999999999998
23234,9823634,5820,4.6,1.0535,31.971
23235,9823748,5986,4.93,1.1027,14.722000000000001
23236,9823860,5945,4.49,1.0903,17.541
23237,9823967,6122,4.45,1.1452,31.049
23238,9824021,5780,4.75,1.042,41.001000000000005
23239,9824089,5483,4.73,0.9602,26.697
23240,9824180,5975,4.48,1.0994,27.371
23241,9824359,5284,4.63,0.9078,36.75
23242,9824417,4968,4.67,0.826,20.934
23243,9824419,5651,4.58,1.0058,26.85
23244,9824585,6132,4.29,1.1484,22.191999999999997
23245,9824767,5557,4.59,0.9801,40.755
23246,9824906,5169,4.53,0.878,40.26
23247,9824991,6105,4.58,1.1398,11.943
23248,9825432,6118,4.53,1.1439,12.189
23249,9825501,5114,4.62,0.8638,31.131
23250,9825593,5978,4.53,1.1003,17.44
23251,9825778,6348,4.36,1.221,13.374
23252,9825811,5359,4.43,0.9274,36.464
23253,9825830,4929,4.5,0.8158,35.994
23254,9825894,5948,4.31,1.0912,43.038999999999994
23255,9825934,5636,4.45,1.0016,36.383
23256,9826176,4939,4.74,0.8184,37.097
23257,9826335,5051,4.77,0.8475,27.947
23258,9826368,5873,4.42,1.0689,25.184
23259,9826460,4746,4.67,0.7676,41.981
23260,9826593,5067,4.76,0.8516,43.227
23261,9826610,5150,4.91,0.8731,26.145
23262,9826711,6055,4.43,1.124,18.788
23263,9826950,6238,4.62,1.1833,8.375
23264,9827128,5806,4.73,1.0494,24.163
23265,9827557,5743,4.59,1.0315,23.345
23266,9827577,5680,5.0,1.0138,23.413
23267,9827696,5112,4.93,0.8632,39.672
23268,9827705,5504,4.73,0.9658,27.923000000000002
23269,9827711,5975,4.58,1.0994,27.099
23270,9827900,5039,4.49,0.8444,30.967
23271,9828258,5707,4.51,1.0213,47.763999999999996
23272,9828294,5176,3.83,0.8798,55.59
23273,9828301,5876,4.63,1.0698,17.793
23274,9828338,5963,4.49,1.0957,21.425
23275,9828405,5418,4.59,0.9429,30.068
23276,9832310,5372,4.94,0.9308,23.1
23277,9832338,5732,4.6,1.0283,24.122
23278,9832433,6246,4.34,1.186,7.039
23279,9832510,5674,4.72,1.0121,8.889
23280,9832675,5988,4.51,1.1033,29.761999999999997
23281,9832744,5763,4.46,1.0371,37.281
23282,9832758,6200,4.37,1.1706,4.665
23283,9832805,5492,4.6,0.9626,32.009
23284,9832926,5951,4.46,1.0921,58.385
23285,9833033,5580,4.79,0.9863,48.69
23286,9833034,5530,4.88,0.9728,26.84
23287,9833047,5889,4.74,1.0736,30.726
23288,9833258,5843,4.54,1.0601,23.713
23289,9833476,6213,4.25,1.1749,24.436
23290,9833661,4942,4.52,0.8192,38.735
23291,9833769,5813,4.51,1.0514,68.218
23292,9833829,5791,4.45,1.0451,30.476999999999997
23293,9833848,5248,4.65,0.8985,27.075
23294,9833890,5760,4.71,1.0363,21.171999999999997
23295,9833982,5176,3.9,0.8798,53.648999999999994
23296,9834083,6076,4.5,1.1306,61.332
23297,9834084,5363,4.87,0.9284,63.865
23298,9834389,6423,4.42,1.2478,5.38
23299,9834545,5589,4.71,0.9887,18.727
23300,9834664,5627,4.44,0.9991,45.434
23301,9835273,5828,4.76,1.0558,42.144
23302,9835399,4618,4.49,0.7331,42.757
23303,9835498,5581,4.79,0.9866,29.476
23304,9835819,5525,4.71,0.9714,25.45
23305,9835971,5850,4.48,1.0622,52.375
23306,9835972,5602,4.48,0.9923,62.428999999999995
23307,9836132,5943,4.4,1.0897,31.886999999999997
23308,9836150,5086,4.32,0.8565,40.685
23309,9836268,6230,4.27,1.1806,27.993000000000002
23310,9836355,5858,4.44,1.0645,45.833999999999996
23311,9836427,5532,4.61,0.9733,1.392
23312,9836484,6040,4.47,1.1193,28.842
23313,9836583,5796,4.53,1.0465,1.1440000000000001
23314,9836758,5423,4.57,0.9442,53.301
23315,9837018,4680,4.71,0.7499,33.818000000000005
23316,9837179,5117,4.48,0.8645,38.528
23317,9837454,5787,4.26,1.044,37.29
23318,9837477,5741,4.54,1.0309,30.076
23319,9837548,5896,4.15,1.0757,26.274
23320,9837615,5908,4.16,1.0792,27.581999999999997
23321,9837777,5997,3.79,1.1061,27.691999999999997
23322,9837884,5218,4.66,0.8907,39.1
23323,9838131,5975,4.86,1.0994,16.214000000000002
23324,9838313,5708,4.85,1.0216,17.358
23325,9838346,6032,4.66,1.1169,49.75
23326,9838640,5570,4.56,0.9836,60.228
23327,9838678,5129,4.43,0.8676,33.336999999999996
23328,9838871,5944,4.7,1.09,30.293000000000003
23329,9838958,6426,4.76,1.2489,5.204
23330,9839064,5658,4.39,1.0077,31.335
23331,9839076,5522,4.61,0.9706,35.196999999999996
23332,9839155,6336,4.38,1.2168,5.039
23333,9839200,5997,4.48,1.1061,20.178
23334,9839224,5481,4.61,0.9596,26.002
23335,9839277,5897,4.7,1.076,14.901
23336,9839282,5855,4.72,1.0636,31.519000000000002
23337,9839457,6381,4.44,1.2327,5.055
23338,9839523,4870,4.62,0.8004,45.678999999999995
23339,9840158,5249,4.19,0.8987,30.318
23340,9840367,6060,4.47,1.1256,10.329
23341,9843052,6308,4.81,1.2071,3.9189999999999996
23342,9843213,5569,4.7,0.9833,31.539
23343,9843322,5469,5.01,0.9565,28.596999999999998
23344,9843338,5506,5.13,0.9663,17.767
23345,9843401,6104,4.41,1.1395,12.850999999999999
23346,9843411,5476,4.8,0.9583,42.226000000000006
23347,9843691,6212,4.06,1.1746,20.584
23348,9844169,5404,4.77,0.9392,32.009
23349,9844285,5560,4.7,0.9809,10.675
23350,9844373,6429,4.4,1.25,5.1160000000000005
23351,9844501,5632,4.76,1.0005,0.541
23352,9844514,5632,4.17,1.0005,1.175
23353,9844595,5695,4.57,1.018,21.11
23354,9844754,6414,4.3,1.2446,23.776999999999997
23355,9845014,4777,4.38,0.7759,36.028
23356,9845331,5658,4.5,1.0077,51.83
23357,9845416,5959,4.58,1.0945,14.273
23358,9845531,6358,4.34,1.2246,6.896
23359,9845759,5715,4.61,1.0236,5.376
23360,9845935,5588,4.65,0.9885,22.835
23361,9846067,5167,4.5,0.8775,28.533
23362,9846560,5580,4.53,0.9863,52.352
23363,9846587,6043,4.51,1.1203,53.465
23364,9846697,5245,4.76,0.8977,49.684
23365,9846829,5103,4.95,0.8609,32.255
23366,9846850,6359,4.73,1.2249,60.371
23367,9846854,5228,4.25,0.8933,44.515
23368,9846900,5216,4.6,0.8901,29.23
23369,9846969,6433,4.71,1.2515,2.267
23370,9847076,5090,4.76,0.8576,33.95
23371,9847270,6015,4.63,1.1116,13.652999999999999
23372,9847321,6017,4.46,1.1122,15.478
23373,9847376,5598,4.69,0.9912,28.24
23374,9847524,4606,4.54,0.7298,45.291000000000004
23375,9847647,5773,4.17,1.04,55.21
23376,9847713,6070,4.58,1.1287,11.604000000000001
23377,9847820,5576,4.5,0.9852,36.709
23378,9848022,5225,4.7,0.8925,31.191999999999997
23379,9848238,5705,4.64,1.0208,19.412
23380,9848352,5787,4.61,1.044,20.178
23381,9848395,6339,4.23,1.2179,37.365
