,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
95,6140912,0.0,5662.0,4.085,1.375,0.84,0.4553,5662,4.085,1.375,0.84,0.4553
96,5127513,12.821,5587.0,3.688,2.568,1.171,0.09742,5587,3.688,2.568,1.171,0.09742
97,10090102,15.216,5653.0,4.0489999999999995,1.776,1.286,0.3235,5653,4.049,1.776,1.286,0.3235
98,10224361,44.386,5727.0,4.008,1.729,1.11,0.3022,5727,4.008,1.729,1.11,0.3022
99,4846450,10.929,5787.0,4.351,1.0659999999999998,0.93,1.082,5787,4.351,1.0659999999999998,0.93,1.082
100,4575244,0.0,5845.0,4.374,1.1079999999999999,1.06,1.097,5845,4.374,1.108,1.06,1.097
101,7529341,0.0,6043.0,4.26,1.095,0.795,0.8523,6043,4.26,1.095,0.795,0.8523
102,8045945,12.402999999999999,5641.0,4.373,0.9990000000000001,0.8590000000000001,1.215,5641,4.373,0.999,0.8590000000000001,1.215
103,11036936,17.297,5452.0,4.3260000000000005,1.061,0.8690000000000001,1.024,5452,4.3260000000000005,1.061,0.8690000000000001,1.024
104,6526932,15.237,5446.0,4.388,0.961,0.825,1.3090000000000002,5446,4.388,0.961,0.825,1.3090000000000002
105,2011641,16.255,5468.0,4.121,1.4609999999999999,1.029,0.4643,5468,4.121,1.461,1.0290000000000001,0.4643
106,5616846,13.380999999999998,5947.0,3.937,2.148,1.456,0.2069,5947,3.937,2.148,1.456,0.2069
107,10601604,13.644,6022.0,4.36,1.085,0.984,1.084,6022,4.36,1.085,0.9840000000000001,1.084
108,11389437,13.044,6029.0,4.053999999999999,1.633,1.102,0.3564,6029,4.0539999999999985,1.633,1.102,0.3564
109,6676655,17.319000000000003,5357.0,4.357,1.036,0.89,1.127,5357,4.357,1.036,0.89,1.127
110,8647149,10.517999999999999,5817.0,4.091,1.357,0.8290000000000001,0.467,5817,4.091,1.357,0.8290000000000001,0.467
